Company Name,Total Interns,Employees,Address,Town,State,Zip,Sector
"Placetailor, Inc. ",8,12,51 Heath Street,Jamaica Plain,MA,2130,"Conservation,Energy Efficiency,Green Building"
Planck Energies Inc.,7,2,15 Breton Dr,Canton,MA,2021,Energy Efficiency
Plasma Energy Innovation,2,3,176 WILSHIRE DRIVE,Sharon,MA,2067,Biofuel
Poly6 Technologies,14,2,164 Middlesex Turnpike,Burlington,MA,1803,Energy Efficiency
"PolyJoule, Inc.",3,15,46 Manning Road,Billerica,MA,1821,Energy Storage
"Positive Energy Homes, LLC",1,2,19 Russell St.,Marblehead,MA,1945,Green Building
Power Advisory LLC,41,5,22 Devens Street,Concord,MA,1742,Offshore Wind
Power for Humanity,4,4,272 Amity Street,Amherst,MA,1002,Other
Power House Energy Consulting,7,4,35 New South Street,Northampton,MA,1060,Energy Efficiency
PowerDash,1,2,"50 Church Street, 5th Floor",Cambridge,MA,2138,Services and Support
Powerhouse Dynamics,1,25,3 Bridge Street,Newton,MA,2458,"Energy Efficiency,Smart Grid,Other"
"PowerOptions, Inc.",19,13,129 South Street 6th Floor,Boston,MA,2111,Energy Efficiency
"Prellwitz/Chilinski Associates, Inc. (PCA, Inc.)",1,1,14 Douglas Rd,Cambridge,MA,2139,Green Building
Preservation of Affordable Housing Inc. (POAH),2,50,"2 Oliver St, Suite 500",Boston,MA,2109,Energy Efficiency
PRIME Coalition,10,20,625 Massachusetts Ave,Cambridge,MA,2139,Other
Prime Lightworks Inc. ,9,1,28 Dane St.,Somerville,MA,2143,"Alternative Transportation,Solar,Other"
PRIME Management Company,7,2,"625 Massachusetts Avenue, 2nd Floor",Cambridge,MA,2139,Other
"Prince Lobel Tye, LLP",1,120,"100 Cambridge Street, Suite 2200",Boston,MA,2114,Services and Support
Prism Consulting Inc (DBA Prism Energy Services),10,7,"1150 Hancock Street, Ste 400",Quincy,MA,2169,Energy Efficiency
"Pro Star Energy, LLC",13,50,1600 Osgood Street Suite 2035,North Andover,MA,1845,Solar
Progressive Asset Management ,22,5,126 Centre Street,Brookline,MA,2446,Other
"Promethean Power Systems, Inc.",5,1,28 Dane St.,Somerville,MA,2143,Energy Efficiency
Proper Pipe Inc,1,1,"One Boston Place, Suite 2600",Boston,MA,2108,"Water Technology,Other"
"Prospect Growth, Inc.",1,2,"100 Carlson Avenue, Umass Amherst Mt Ida",Newton,MA,2459,Conservation
Protek Corporation,5,10,530 West Street,Braintree,MA,2184,"Services and Support,Other"
Protonex Technology Corp,20,60,"153 Northboro Rd., Suite 1",Southborough,MA,1772,Fuel Cell
"Provocative Science Holdings, LLC",2,5,321B Washington Street,Somerville,MA,2143,Carbon Dioxide Removal
"PSM Energy, LLC",4,4,17 Ivaloo Street,Somerville,MA,2143,Solar
Pure Lithium Corporation,3,40,55 Roland Street,Charlestown,MA,2129,Energy Efficiency
PureSky US Services LLC (DBA PureSky Energy) ,10,3,"518 17th St., Suite 950",Denver,CO,80202,Solar
"PurposeEnergy, Inc.",1,4,800 W Cummings Park Suite 3400,Woburn,MA,1801,"Biofuel,Biomass,Water Technology"
PV Pure,10,2,444 Somerville Ave.,Somerville,MA,2143,Water Technology
PV Squared (Pioneer Valley Photovoltaic Cooperative),6,48,"311 Wells Street, Suite B",Greenfield,MA,1301,Solar
Qteros,2,,"100 Campus Drive, 6th floor",Marlborough,MA,1752,Biofuel
Quanta Development LLC,7,2,38-42 Medford Street Unit 1,Somerville ,MA,2143,Energy Efficiency
QuantAQ,1,2,444 Somerville Ave,Somerville,MA,2143,Other
"Quincy Asian Resources, Inc.",2,25,PO Box 690536,Quincy,MA,2269,Energy Efficiency
RA Capital Management,1,126,"200 Berkeley Street, 18th Floor",Boston,MA,2116,Other
Radical Plastics,2,4,100 Cummings Center Unit 240D,Beverly,MA,1915,Biodegradable Polymers for Agriculture and Beyond
Raise Green,1,3,444 Somerville Ave,Somerville,MA,2143,Other
Raptor Maps,12,20,444 Somerville Ave,Somerville,MA,2143,Solar
"Rate It Green, LLC",51,1,216 Westerly Rd,Weston,MA,2493,Green Building
Ratel Consulting LLC,4,1,"1 Broadway, 14th Floor",Cambridge,MA,2142,Alternative Transportation
Rayah Solar,8,10,21 Bond Street,Spencer,MA,1562,Solar
RC Cubed,5,4,"40 Jackson St, Suite 1120",Worcester,MA,1608,Solar
"Real Goods Energy Tech, Inc.",1,35,84 State St.,Boston,MA,2109,Solar
"Recover Green Roofs, LLC",5,30,9 OLIVE SQUARE,SOMERVILLE,MA,2143,Green Building
Reframe Systems,1,12,30 Lowell Junction Road,Andover,MA,1810,Green Building
"REinsulation, Inc.",2,2,"340 McKinstry Avenue, Suite 350",Chicopee,MA,1013,Energy Efficiency
"Renew Energy Partners, LLC",14,9,"One Lincoln St., STE 2900",Boston,MA,2111,Energy Efficiency
Renewable Energy Systems (RES Solar),6,6,15 Marion way,Cohasset,MA,2025,Other
"REON Technology, Inc.",11,3,"200 Turnpike Road, Unit 10",Chelmsford,MA,1824,Energy Efficiency
Resolute Marine Energy,21,7,3 Post Office Square - 3rd floor,Boston,MA,2109,Other
Resolute Methane,1,1,"2 Rogers Avenue, Unit 2",Somerville,MA,2144,Carbon Trading
Resonant Energy,22,18,60 Clayton St.,Dorchester,MA,2122,Solar
Resource Lighting & Energy,10,19,291 McGowan Street,FALL RIVER,MA,2723,Energy Efficiency
"REsurety, Inc.",32,60,"40 Water Street, 9th Floor",Boston,MA,2109,Services and Support
Rethinking Power Management LLC,1,4,"13 Waltham St, Suite B109",Boston ,MA,2118,Energy Efficiency
"Retroficiency, Inc.",7,30,"101 Arch Street, Suite 30-Summer Exchange Building",Boston,MA,2110,Energy Efficiency
"Return to Vendor, Co.",4,2,"423 West 43rd Street, Black Door",Manhattan,NY,10036,Other
ReVision Energy,9,25,1980 Turnpike St,North Andover,MA,1845,Solar
Revolt Charging Inc.,2,5,3 Allied Drive Suite 303,Dedham,MA,2026,Energy Efficiency
Rhapsody Venture Partners,10,3,210 Broadway 2nd Floor,Cambridge,MA,2139,"Alternative Transportation,Biofuel,Energy Efficiency,Water Technology,Other"
"Rifiniti, Inc.",18,12,51 Melcher Street,Boston,MA,2210,Green Building
"River Otter Renewables, Inc",2,1,63 Crescent Street,Stow,MA,1775,Biofuel
Riverstone Sustainability,17,3,8 Lincoln Street,Newburyport,MA,1950,Green Building
"Roberts Brothers Lumber Co., Inc.",1,4,1450 Spruce Corner Road,Ashfield,MA,1330,Biomass
Roberts Energy Renewables,1,0,1450 Spruce Corner Road,Ashfield,MA,1330,Biomass
Robosys Automation Inc,2,3,113 Deborah Road,Newton,MA,2459,Offshore Wind
Ross Solar Group,4,15,225 Park Ave.,Worcester,MA,1604,Solar
rStream Recycling Inc (DBA rStream),3,2,444 Somerville Ave,Somerville,MA,02143-3270,Conservation
"Rye Development, LLC",7,5,"745 Atlantic Avenue, 8th Floor",Boston,MA,2111,Hydro
"Sage Devices, Inc.",2,3,1280 Massachusetts Avenue,Cambridge,MA,2138,Smart Grid
Sagewell,5,9,12 Alfred Street,Woburn,MA,1801,"Alternative Transportation,Energy Efficiency"
"Salient Predictions, Inc.",5,5,39 Gull Rd,Falmouth,MA,2540,Hydro
Sandri Energy,4,300,400 Chapman St.,Greenfield,MA,1302,Biomass
Sandymount Technologies Corporation,5,6,"21R Properzi Way, Suite N",Somerville,MA,2143,Energy Efficiency
"Sanford Lewis, Attorney",7,2,PO Box 231,Amherst,MA,1004,Services and Support
Sanrel LLC,2,3,"44 Portland St., Fl 4",Worcester,MA,1608,
"Save Energy Systems, Inc.",11,8,"1 Research Drive, Suite 100A",Westborough,MA,1581,Energy Efficiency
"SeaAhead, Inc.",29,9,"One Broadway, 14th Fl",Cambridge,MA,2142,Services and Support
"Second Generation Energy, LLC",28,11,85 South Bow St,Milford,MA,1757,Solar
"SEEAIR, Inc.",2,2,"275 River Street, Unit 3",Cambridge,MA,2139,Green Building
Self-Reliance Corporation,13,3,PO Box 396,North Falmouth,MA,2556,Other
Sense Labs Inc.,15,25,485 Mass Ave,Cambridge,MA,2139,"Conservation,Demand Response,Energy Efficiency"
Sesame Sustainability,1,3,One Broadway 14th Floor,Cambridge,MA,2142,Services and Support
"Sierra Club, Massachusetts Chapter",10,3,"294 Washington Street, Suite 417",Boston,MA,2108,Other
SIGMA C POWER SERVICES LLC,1,10,4 FORT ST,FAIRHAVEN,MA,2719,Solar
Si-Lai Sticks Corp (DBA ChopValue Boston),7,6,142 Cambridge Street,Charlestown,MA,2129,Green Building
Singularity Energy,1,2,444 Somerville Ave,Somerville,MA,2143,Services and Support
"Sistine Solar, Inc.",20,2,444 Somerville Ave,Somerville,MA,2143,Solar
"SiTration, Inc.",15,3,45 Prospect Street,Cambridge,MA,2139,Energy Efficiency
SketchThis LLC,1,1,574 Bernardston Road,Greenfield,MA,1301,Green Building
Smart Electric Power Alliance,2,3,"1800 M Street NW, Front 1 #33159",Washington,DC,20036,Energy Efficiency
"SmartFlower North America, LLC (an affiliate of Energy Management, Inc)",3,18,20 Park Plaza,Boston,MA,2116,Solar
Soden Sustainability Consulting,2,1,19 Richardson Street,Winchester,MA,1890,Green Building
"Sol Clarity, Inc.",2,2,444 Somerville Ave,Somerville,MA,2143,Solar
"SolaBlock, LLC",31,1,45 Woodlawn Ave,Pittsfield,MA,1201,Solar
"Solar Design Associates, Inc.",13,12,"280 Ayer Road, Suite 201 / PO Box 242",Harvard,MA,1451,Solar
Solar Energy Business Association of New England (SEBANE),19,1,"4 Lan Drive, Suite 100",Westford,MA,1886,solar
Solar Five,4,15,8 Wallis Court,Lexington,MA,2421,Solar
"Solar Rising, LLC",2,10,"759 Falmouth Rd, Unit 8",Mashpee,MA,2649,Solar
Solar Store of Greenfield,5,3,2 Fiske Ave,Greenfield,MA,1301,Solar
Solar Wave Energy,1,3,31 Cambridge Terrace,Cambridge,MA,2140,Solar
SolarEV LLC,4,1,152 Bellevue Road,Watertown,MA,2472,Solar
"SolarFlair Energy, Inc.",19,28,190 Pleasant Street,Ashland,MA,1721,Solar
SolarKal LLC,13,4,444 Somerville Ave. Suite 4C,Somerville,MA,2143,Solar
"SolarOne Solutions, Inc.",11,10,"220 Reservoire Street, Suite 19",Needham,MA,2494,Solar
"SolBid, Inc.",45,10,"116 John Street, Suite 400",Lowell,MA,1852,Solar
Solchroma Technologies,11,10,12 Dunham Rd,Billerica,MA,1821,Energy Efficiency
Solect Energy Development,30,63,89 Hayden Rowe St. ,Hopkinton ,MA,1748,Solar
Solectria Renewables,2,144,360 Merrimack Street,Lawrence,MA,1843,Energy Efficiency
SolidEnergy Systems Corp. (DBA SES AI),3,110,35 Cabot Road,Woburn,MA,1801,Alternative Transportation
"Solomon Consulting Group, LLC",2,3,444 Somerville Avenue,Somerville,MA,2143,Energy Efficiency
Solsis Energy Advising and Training,1,2,5104 Station Cir,Dedham,MA,2026,Solar
SolSolution,5,6,337 Summer St.,Boston,MA,2210,Solar
Solstice Initiative,13,6,186 Alewife Brook Pkwy #1051,Cambridge,MA,2138,Solar
"Solstice Power Technologies, Inc.",18,4,160 Alewife Brook Pkwy #1048,Cambridge,MA,2138,Solar
Solutia,5,425,730 Worcester Street,Springfield,MA,1151,Solar
"Solvus Global, LLC",11,37,104 Prescott Street,Worcester,MA,1605,Other
Somerville Community Corporation,2,14,337 Somerville Ave. 2nd Floor  337 Somerville Ave,Somerville,MA,2143,Energy Efficiency
SomEV,2,2,"72 Line Street, #3",Somerville,MA,2143,Alternative Transportation
Sonesta International Hotels,4,500,400 Centre Street,Newton,MA,2458,Energy Efficiency
Sora Fuel Corporation,4,2,750 Main Street,Cambridge,MA,2139,Alternative Trasnsportation
South Boston NDC,1,5,273 D Street,South Boston,MA,2127,Energy Efficiency
"Southern Light Solar, LLC",31,20,"287 Sawyer St., #1W",New Bedford,MA,2746,Solar
"Sowlis, Inc. (OffGridBox)",8,0,"21 Drydock, Suite 6E",Boston,MA,2210,"Energy Efficiency,Solar,Water Technology"
SpadXTech LLC,4,2,"17 Briden Street, Suite 109",Worcester,MA,1605,Biomass
Spare-It,10,6,1468 Massachusetts avenue,Lexington,MA,2420,Green Building
SparkCharge,11,30,455 Grand Union Ave,Somerville,MA,2145,Services and Support
"Sparkplug Power, Inc.",2,1,444 Somerville Ave.,Somerville,MA,2143,Smart Grid
Speak for the Trees,27,6,"60 Clayton Street, #201",Dorchester,MA,2122,Conservation
Spirit Solar,8,1,127 Manchester Ter,Springfield,MA,1108,Solar
Spotimyze Energy,5,1,50 Milk Street,BOSTON,MA,2110,Alternative Transportation
"SRGE, Inc., the Construction Accelerator",8,7,263 Huntington Ave ,Boston ,MA,2115,Other
Stalker Electric,1,20,"400 West Cummings Park, Suite 1725-142",Woburn,MA,1801,Solar
"Stepwise (Stepwise Electric, Inc.)",2,2,444 Somerville Ave,Somerville,MA,2143,Smart Grid
Structure Tone,2,120,40 Broad Street 2nd Floor,Boston,MA,2109,Green Building
Studio G Architects,4,17,179 Boylston Street Building P,Jamaica Plain,MA,2130,Energy Efficiency
Studio Webster LLC (DBA Graphite Studio),1,3,235 Triangle Street,Amherst,MA,1002,Green Building
Sun Dial,2,3,12 Rosenfeld Drive,Hopedale,MA,1747,Solar
SunBug Solar,29,65,2A Draper Street,Woburn,MA,1801,Solar
"SunDrum Solar, LLC",11,8,"469 River Rd., Suite #8",Hudson,MA,1749,Solar
SunEdison,1,,8 Niles Street,Brighton,MA,2135,Solar
Sunforge LLC d/b/a Blue Sky Energy,2,4,"2598 Fortune Way, Suite K",Vista,CA,92081,Solar
"Sungage Financial, Inc.",8,35,"50 Franklin Street, Suite 202",Boston,MA,2110,Solar
SunPower Corporation,3,12,12 Thomson Street 3rd Floor,Boston,MA,2210,Solar
SunWaterMV,2,1,26 Pondview Dr.,Oak Bluffs,MA,2568,Solar
"Sunwealth Power, Inc.",11,3,2067 Massachusetts Ave Suite 540,Cambridge,MA,2140,Solar
"Sustainability Roundtable, Inc.",9,6,One Broadway,Cambridge,MA,2142,Other
"Sustainable Comfort, Inc.",9,30,55 Linden Street,Worcester,MA,1609,Green Building
"Sustainable Energy Advantage, LLC",46,19,"161 Worcester Road, Suite 503",Framingham,MA,1701,Services and Support
Sustainable Homes Project,3,4,1213 Purchase Street,New Bedford,MA,2740,Energy Efficiency
Sustainable Marblehead,3,1,P.O. Box 1320,Marblehead,MA,1945,Services and Support
Sustainable Minds,10,3,101 Summit Avenue,Brookline,MA,2446,Green Building
Sustainable Performance Institute,9,5,1085 Commonwealth Ave. #354,Boston,MA,2215,Green Building
"Sustainserv, Inc.",2,6,"311 Summer St., Ste 310",Boston,MA,2210,Services and Support
SWCA Environmental Consultants,17,200,15 Research Drive,Amherst,MA,1002,Energy Efficiency
SWEB Development,2,7,"209 West Central Street, Suite 306",Natick,MA,1760,Renewables
"Synapse Energy Economics, Inc.",8,30,"485 Massachusetts Avenue, Suite 3",Cambridge,MA,2139,"Demand Response,Energy Efficiency,Smart Grid,Solar,Wind"
Syntha Corporation,1,0,945 Concord Street,Framingham,MA,1701,Smart Grid
SYSO Technologies,9,24,"137 Portland Street, 6th Fl",Boston,MA,2114,Energy Storage
Systems Design and Technology LLC (DBA Beacon Climate Innovations),9,1,42 Manor Avenue,Wellesley,MA,2482,Services and Support
Tabors Caramanis Rudkevich,4,6,300 Washington Street Suite 402,Newton,MA,2458,Smart Grid
"Tagup, Inc.",17,11,361 Newbury Street Ste. 308,Boston,MA,2115,Services and Support
Takachar Limited,14,2,"21 Drydock Ave, 610E",Boston,MA,2210,Carbon Trading
Tank Utility,15,12,"87 Summer Street, 5th Floor",Boston,MA,2110,Services and Support
"Techstyle Materials, Inc. (DBA Adept Materials)",7,3,444 Somerville Avenue,Somerville,MA,2143,Green Building
"Tekkware, Inc.",2,2,"100 Cummings Center, Suite 451C",Beverly,MA,1915,Biofuel
Tenant Solar,2,1,187 Willow Ave,Somerville,MA,2144,Solar
"TeraCool, LLC",1,4,116 Indian Spring Road,Concord,MA,1742,Energy Efficiency
"TerraVerdae BioWorks, Inc.",3,2,"100 Cummings Center, Suite 438N",Beverly,MA,1915,Biomass
"Tersus Environmental, LLC",5,1,1116 Colonial Club Road,Wake Forest,NC,27587,Water Technology
Tessolar Inc.,10,11,10 State St Suite 103,Woburn,MA,1801,Solar
The Boston Solar Company LLC (DBA Boston Solar),23,85,"12 Gill Street, Suite 5650",Woburn,MA,1801,Solar
The Community Builders,1,0,"185 Dartmouth St, 9th Floor",Boston,MA,2116,Energy Efficiency
"The Green Engineer, Inc",2,25,23 Bradford Street 1st Floor,Concord ,MA,1742,Energy Efficiency
The Green Project Manager,1,1,"71 Commercial Street, Suite 53",Boston,MA,2109,Services and Support
The Narrow Gate Architecture,1,11,121 East Berkeley Street,Boston,MA,2118,Green Building
The RMR Group,2,300,255 Washington Street,Newton,MA,2458,
Thiozen Inc.,1,2,100 Cummings Center #451c,Beverly,MA,1915,Other
TIBA Investments,1,2,152 Bellevue rd,Watertown,MA,2472,Solar
Tighe & Bond,10,350,53 Southampton Road,Westfield,MA,1085,Solar
"Titan Advanced Energy Solutions, Inc.",22,40,"35 Congress Street, Suite 2251",Salem,MA,1970,Energy Efficiency
Town of Concord,2,650,22 Monument Square PO Box 535,Concord,MA,1742,Energy Efficiency
Trace Matters Scientific LLC,2,1,444 Somerville Ave.,Somerville,MA,2143,Water Technology
"Transaera, Inc.",14,8,444 Somerville Ave,Somerville,MA,2143,Green Building
"Transformations, Inc.",2,11,8 Coppersmith Way,Townsend,MA,1469,"Solar, Energy Efficiency"
TRC,1,250,2 Liberty Square 6th Floor,Boston,MA,2109,"Energy Efficiency,Smart Grid"
Trellis Air Corporation,1,3,444 Somerville Avenue,Somerville,MA,2143,Green Building
"Triton Systems, Inc.",13,124,"330 Billerica Road, Suite 200",Chelmsford,MA,1824,Offshore Wind
"True Diversity, Inc.",1,2,140R Fremont Street,Taunton,MA,2780,Services and Support
"TrueLight Energy, LLC",29,7,18 Shipyard Dr Suite 2A,Hingham,MA,2043,Services and Support
"Turn Key Builders, Inc.",5,3,410 Chapman Street,Greenfield,MA,1301,Green Building
Turner Construction Company,3,450,"2 Seaport Lane, 2nd Floor",Boston,MA,2210,Green Building
Turnpike General Contracting,1,35,239 Boston St.,Topsfield,MA,1983,Solar
U.S.-Asia Sustainable Development Foundation,2,2,"367 Harvard Street, Apt. 1",Cambridge,MA,2138,Services and Support
"Ubiquitous Energy, Inc.",2,3,350 3rd St. #2002,Cambridge,MA,2142,Solar
"UltraCell Insulation, LLC",3,3,"1 Broadway, 14th Floor",Cambridge,MA,2142,Green Building
"United Solar Associates, LLC",26,30,376 Washington Street,Malden,MA,2148,Solar
Uplight,3,41,2530 Junction Place,Boulder,CO,80301,Demand Response
"Upstart Power, Inc",3,10,"153 Northboro Rd., Suite 100",Southborough,MA,1772,Fuel Cell
Upstream Carbon,1,1,82 Carolina Ave #2,Jamaica Plain,MA,2130,Conservation
Upstream PBC,9,1,"20 Prescott Street, Apt 2",Somerville,MA,2143,Water Technology
"US Green Building Council, MA Chapter (USGBC)",36,3,"50 Milk Street, 15th Floor",Boston,MA,2109,Energy Efficiency
US Green Data,3,2,222 3rd Street,Cambridge,MA,2142,Energy Efficiency
"US SolarWorks, LLC",11,8,"64 Water Street, Suite 2",Attleboro,MA,2703,Solar
"Utile, Inc.",2,75,115 Kingston St.,Boston,MA,2466,Green Building
"V Squared Wind, Inc.",11,3,306 Bellevue St,West Roxbury,MA,2132,"Hydro,Wind"
VALIS Insights,4,5,104 Prescott Street,Worcester,MA,1605,Other
Valley Solar LLC,5,30,116 Pleasant St Suite 321,Easthampton,MA,1027,Solar
Vanguard Operations LLC,2,5,51 Muschopauge Rd,Rutland,MA,1543,Biomass
Vanguard Renewables,8,20,"15 Walnut Street, Suite 300",Wellesley,MA,2481,Biofuel
"Vata Verks, Inc.",10,1,28 School St,Arlington,MA,2476,"Conservation,Water Technology"
"Vecarius, Inc.",38,2,444 Somerville Avenue,Somerville,MA,2143,Energy Efficiency
VEIR Inc.,2,22,"3 Gill Street, Suite D",Woburn,MA,1801,Other
Verisk Analytics (Wood Mackenzie),3,500,"Lafayette City Center, 2 Avenue de Lafayette, 2nd Floor",Boston,MA,`,Other
"Vertex Companies, Inc.",2,100,400 Libbey Parkway,Weymouth,MA,2189,Solar
"Via Separations, LLC",14,29,165 Dexter Avenue,Watertown,MA,2472,Other
"Viage, LLC",8,4,"867 Boylston Street, Suite 500",Boston,MA,2116,Services and Support
Vineyard Power Development Fund Inc.,23,4,P.O. Box 1077,West Tisbury,MA,2575,Solar
Vineyard Wind (Island Wind),4,30,"75 Arlington Street, Suite 700",Boston,MA,2116,Wind
Voda Inc. (Voda.ai),17,3,"50 Milk Street, 15th Floor",Boston,MA,2109,Water Technology
"Volta Energy, Inc.",4,2,3 Rutland Terrace,Worcester,MA,1609,Fuel Cell
"Voltrek, LLC",2,5,110 Jackson Stret,Methuen,MA,1844,Energy Efficiency
Voltus,3,29,2443 Fillmore Street,San Francisco,CA,94115,Demand Response
Vuronyx Technologies,18,4,5 Walnut Hill Park Unit 13,Woburn,MA,1801,Energy Efficiency
"Ware River Power, Inc.",12,2,20 Common Street; PO Box 512,Barre,MA,1005,Hydro
WatchTower Robotics Co.,4,3,"2440 Massachusetts ave, Unit 41",Cambridge,MA,2140,"Water Technology,Other"
"Water Hero, Inc.",25,5,73 Lothrop St,Beverly,MA,1915,Water Technology
Watts Water Technologies,5,296,815 Chestnut Street,North Andover,MA,1845,Water Technology
WegoWise by AppFolio,54,5,50 Castilian Drive,Santa Barbara,CA,93117,Services and Support
WeSpire (official is Practically Green),24,15,"180 Lincoln Street, 3rd floor",Boston,MA,2111,Services and Support
"West Work, LLC",5,10,103 Terrace Street,Roxbury,MA,2120,Green Building
Weston & Sampson,1,325,5 Centennial Drive,Peabody,MA,1960,"Energy Efficiency,Geothermal,Green Building,Hydro,Services and Support,Solar,Water Technology,Conservation"
Williams Energy,4,50,39 Adams Street,Braintree,MA,2184,"Biofuel,Energy Efficiency,Services and Support"
Wilshire.io,3,3,"210 Broadway, Suite 201",Cambridge,MA,2139,Services and Support
WindESCo,3,20,800 District Avenue,Burlington,MA,1803,Wind
WindPole Ventures,2,,"7 Central St., Suite 210",Arlington,MA,2476,Wind
"WindSail Capital Group, LLC",7,6,"133 Federal St., 12th Floor",Boston,MA,2110,Other
Woodard & Curran,17,208,12 Mountfort Street,Portland,ME,4101,Other
WooRides,1,3,"44 Portland Street, Suite 400",Worcester,MA,1608,Alternative Transportation
"Worcester Cleantech Incubator (Institute for Energy & Sustainability, IES)",16,1,"44 Portland Street, 4th Floor",Worcester,MA,1608,Services and Support
Worcester Community Action Council,1,120,484 Main St 2nd Fl,Worcester,MA,1608,Energy Efficiency
WorcLab,2,2,44 Portland St. 4th Floor,Worcester,MA,1608,Other
Workback Inc. (DBA Matcha Electric),5,2,52 Gates Street,Boston,MA,2332,Alternative Transportation
"World Energy Services, LLC",2,30,220 Brooks Street,Worcester,MA,1606,"Conservation,Energy Efficiency,Services and Support,Solar,Other"
"Wrightgrid (official is Sol Power, LLC)",13,4,28 Dane St.,Somerville,MA,2143,"Smart Grid,Solar"
WSP Parsons Brinckerhoff (Built Ecology),2,200,88 Black Falcon Ave,Boston,MA,2210,"Green Building,Water Technology"
X2O Corporation,5,3,218 WASHINGTON ST. STE. 6,Marblehead,MA,1945,Water Technology
Xilectric,1,3,151 Martine Street,Fall River,MA,2723,Other
XL Batteries,1,10,33 Locke Drive Suite 202,Marlborough,MA,1752,Long Duration Energy Storage
XL Hybrids,17,24,145 Newton St,Boston,MA,2135,Alternative Transportation
"Xogen USA, Inc.",2,1,"44 School Street, Suite 505",Boston,MA,2108,Water Technology
Yeloha,6,3,"745 Atlantic Avenue, 8th Floor",Boston,MA,2111,Solar
"Zapotec Energy, Inc.",21,4,26 Glenwood Ave,Cambridge,MA,2139,Solar
Zephyr Energy Corporation,1,1,106 Queensbury St. Apt. D,Boston,MA,2215,Wind
"Zephyr Innovations, Inc.",2,2,444 Somerville Ave.,Somerville,MA,2143,Energy Efficiency
ZERO (Gunnison Company),2,1,11 TROWBRIDGE ST,CAMBRIDGE,MA,2138,Green Building
ZeroEnergy Design,21,8,234 Causeway Street Apt 1006,Boston,MA,2114,Green Building
"ZwitterCo, Inc.",10,35,"12 Cabot Road, Suite B",Woburn,MA,1801,Water Technology
